Modelo,Output,train_r2,val_r2,test_r2,test_mae,test_mse,test_r2_ref1,delta_r2,abs_delta_r2,Status
SVR,ET,0.9998221409720707,0.9872612946748154,0.9701,1390.6690063687486,10363695.365873493,0.903,0.0671,0.0671,FAIL
SVR,M_CH3OH,0.9961014983953016,0.9793412084201822,0.9831,247.0332575658255,127473.22204493695,0.907,0.0761,0.0761,FAIL
SVR,x_CH3OH,0.9868030155498891,0.9470093953787027,0.9531,0.011855611259181333,0.00027242191522850893,0.864,0.0891,0.0891,FAIL
DT,ET,0.9943148524104904,0.8576587505822765,0.8836,4539.010306247562,40382444.35568843,0.863,0.0206,0.0206,FAIL
DT,M_CH3OH,0.9653860611644705,0.7704018055515593,0.774,937.5827155032774,1708748.2367430404,0.833,-0.059,0.059,FAIL
DT,x_CH3OH,0.9685833470361516,0.8061605910830844,0.7905,0.01888701652455631,0.0012163131271275443,0.82,-0.0295,0.0295,FAIL
RF,ET,0.9915458868220215,0.9444503172190634,0.924,3147.0820705047786,26351083.518996287,0.955,-0.031,0.031,FAIL
RF,M_CH3OH,0.9873574903114665,0.90762073354802,0.9143,555.5246602898566,647914.6482252069,0.923,-0.0087,0.0087,OK
RF,x_CH3OH,0.9893870881007093,0.9314914170910258,0.9012,0.012945599548473121,0.0005733247555631027,0.894,0.0072,0.0072,OK
XGBoost,ET,0.9994576641611445,0.9746327001659125,0.9634,2230.806670479502,12682540.07445376,0.952,0.0114,0.0114,OK
XGBoost,M_CH3OH,0.9889857105455008,0.9548802496639713,0.9602,426.39698379195744,301196.55317696265,0.928,0.0322,0.0322,FAIL
XGBoost,x_CH3OH,0.9995013089965777,0.9409719376715108,0.9451,0.009950502372434259,0.00031841860474378906,0.919,0.0261,0.0261,FAIL
ANN,ET,0.9620626089047443,0.9576067630952495,0.9647,2537.2409050355195,12225874.726857191,0.983,-0.0183,0.0183,OK
ANN,M_CH3OH,0.9887842394018573,0.9841538527569088,0.9846,262.42544959114497,116494.5858693764,0.992,-0.0074,0.0074,OK
ANN,x_CH3OH,0.9797696847917998,0.9696639567779458,0.9689,0.008564490715749544,0.0001804048199723995,0.99,-0.0211,0.0211,FAIL
