modelo,output,feature,shap_mean,shap_rank
SVR,ET,P1,0.0043481274180947275,7
SVR,ET,T1,0.028899096871879176,4
SVR,ET,T2,0.0025494644596236135,8
SVR,ET,RRC1,0.00870636008801327,6
SVR,ET,BRC1,0.07986615585146908,2
SVR,ET,RRC2,0.0406860824537019,3
SVR,ET,BRC2,0.009377997022125273,5
SVR,ET,RFF,0.09401793256244728,1
SVR,M_CH3OH,P1,0.011172200570577225,7
SVR,M_CH3OH,T1,0.08282357911358,2
SVR,M_CH3OH,T2,0.0030913952836032123,8
SVR,M_CH3OH,RRC1,0.07887200279125661,4
SVR,M_CH3OH,BRC1,0.08157120255625407,3
SVR,M_CH3OH,RRC2,0.03865274129433243,6
SVR,M_CH3OH,BRC2,0.04584763514767962,5
SVR,M_CH3OH,RFF,0.08407994886288239,1
SVR,x_CH3OH,P1,0.005713925209459533,7
SVR,x_CH3OH,T1,0.015000767633098912,5
SVR,x_CH3OH,T2,0.005040910987454333,8
SVR,x_CH3OH,RRC1,0.11454932353601947,1
SVR,x_CH3OH,BRC1,0.06090686320254207,2
SVR,x_CH3OH,RRC2,0.03370265204021153,3
SVR,x_CH3OH,BRC2,0.030061615954677875,4
SVR,x_CH3OH,RFF,0.008619518218388078,6
DT,ET,P1,0.0024027147536218336,7
DT,ET,T1,0.02371383602827027,4
DT,ET,T2,0.0019031472802760246,8
DT,ET,RRC1,0.006359492884978637,5
DT,ET,BRC1,0.08154743694215351,2
DT,ET,RRC2,0.04270943631110576,3
DT,ET,BRC2,0.0046388762676243655,6
DT,ET,RFF,0.09687283338533657,1
DT,M_CH3OH,P1,0.009071053218883152,7
DT,M_CH3OH,T1,0.0756990696797923,4
DT,M_CH3OH,T2,0.002481284341481317,8
DT,M_CH3OH,RRC1,0.0771884247572307,3
DT,M_CH3OH,BRC1,0.08070780902161596,2
DT,M_CH3OH,RRC2,0.02204390878430831,6
DT,M_CH3OH,BRC2,0.0332568534451308,5
DT,M_CH3OH,RFF,0.08490256766230779,1
DT,x_CH3OH,P1,0.0013422357644503975,7
DT,x_CH3OH,T1,0.005214591814414041,5
DT,x_CH3OH,T2,0.00018911190610677864,8
DT,x_CH3OH,RRC1,0.12483739606976643,1
DT,x_CH3OH,BRC1,0.06275961005880037,2
DT,x_CH3OH,RRC2,0.03118520775216565,3
DT,x_CH3OH,BRC2,0.023865938521396124,4
DT,x_CH3OH,RFF,0.003174031512720921,6
RF,ET,P1,0.001127867722850564,7
RF,ET,T1,0.020830461843845186,4
RF,ET,T2,0.000616448948062867,8
RF,ET,RRC1,0.004186961507213911,5
RF,ET,BRC1,0.08226438615154004,2
RF,ET,RRC2,0.038325495542862714,3
RF,ET,BRC2,0.0032148836420231143,6
RF,ET,RFF,0.09507666529725733,1
RF,M_CH3OH,P1,0.006475871874550089,7
RF,M_CH3OH,T1,0.07824306088852691,3
RF,M_CH3OH,T2,0.000982445702825912,8
RF,M_CH3OH,RRC1,0.07582813773868384,4
RF,M_CH3OH,BRC1,0.08131864916128277,2
RF,M_CH3OH,RRC2,0.01996154035140147,6
RF,M_CH3OH,BRC2,0.03138835563892875,5
RF,M_CH3OH,RFF,0.08249398478910065,1
RF,x_CH3OH,P1,0.0010173403019391972,7
RF,x_CH3OH,T1,0.0051987505726302456,5
RF,x_CH3OH,T2,0.0005908069982744435,8
RF,x_CH3OH,RRC1,0.12097904096635495,1
RF,x_CH3OH,BRC1,0.060830080146153744,2
RF,x_CH3OH,RRC2,0.027970979976868728,3
RF,x_CH3OH,BRC2,0.01986302574633901,4
RF,x_CH3OH,RFF,0.0028203972312298813,6
XGBoost,ET,P1,0.0024137410800904036,7
XGBoost,ET,T1,0.023583868518471718,4
XGBoost,ET,T2,0.0012281076051294804,8
XGBoost,ET,RRC1,0.00669806357473135,6
XGBoost,ET,BRC1,0.08396223932504654,2
XGBoost,ET,RRC2,0.040862075984478,3
XGBoost,ET,BRC2,0.007555522955954075,5
XGBoost,ET,RFF,0.09595710784196854,1
XGBoost,M_CH3OH,P1,0.009801038540899754,7
XGBoost,M_CH3OH,T1,0.08068908751010895,4
XGBoost,M_CH3OH,T2,0.0021072006784379482,8
XGBoost,M_CH3OH,RRC1,0.08246482163667679,3
XGBoost,M_CH3OH,BRC1,0.08287735283374786,2
XGBoost,M_CH3OH,RRC2,0.03496363013982773,6
XGBoost,M_CH3OH,BRC2,0.039974313229322433,5
XGBoost,M_CH3OH,RFF,0.08638255298137665,1
XGBoost,x_CH3OH,P1,0.002295319689437747,7
XGBoost,x_CH3OH,T1,0.010371722280979156,5
XGBoost,x_CH3OH,T2,0.0021152321714907885,8
XGBoost,x_CH3OH,RRC1,0.12132532894611359,1
XGBoost,x_CH3OH,BRC1,0.06316209584474564,2
XGBoost,x_CH3OH,RRC2,0.03200718015432358,3
XGBoost,x_CH3OH,BRC2,0.022826772183179855,4
XGBoost,x_CH3OH,RFF,0.0046602594666182995,6
ANN,ET,P1,0.0031706711559117504,7
ANN,ET,T1,0.03086407860603041,4
ANN,ET,T2,0.0012058346387562016,8
ANN,ET,RRC1,0.008372510570263836,6
ANN,ET,BRC1,0.08200701709071127,2
ANN,ET,RRC2,0.04255283707763849,3
ANN,ET,BRC2,0.008903147259497653,5
ANN,ET,RFF,0.09763446085196659,1
ANN,M_CH3OH,P1,0.009959294328646253,7
ANN,M_CH3OH,T1,0.08302406845912491,2
ANN,M_CH3OH,T2,0.0007481600164626234,8
ANN,M_CH3OH,RRC1,0.08161554605056778,4
ANN,M_CH3OH,BRC1,0.08275432332000227,3
ANN,M_CH3OH,RRC2,0.04029615974523512,6
ANN,M_CH3OH,BRC2,0.045773251216728324,5
ANN,M_CH3OH,RFF,0.0855297389537794,1
ANN,x_CH3OH,P1,0.0025327080607953655,7
ANN,x_CH3OH,T1,0.01348938163953681,5
ANN,x_CH3OH,T2,0.0013586182359510745,8
ANN,x_CH3OH,RRC1,0.11926817004861526,1
ANN,x_CH3OH,BRC1,0.06823938185177919,2
ANN,x_CH3OH,RRC2,0.03560592627291418,3
ANN,x_CH3OH,BRC2,0.03286144296970598,4
ANN,x_CH3OH,RFF,0.009267577405660902,6
