arquitetura,output,k,r2_8,r2_k,delta_r2,delta_r2_boot_medio,ic_inf,ic_sup,equivalente
SVR,M_CH3OH,4,0.9831394936121307,0.6548197756878293,0.32831971792430137,0.3339337960661257,0.2527295081628037,0.4272875282746966,False
SVR,M_CH3OH,5,0.9831394936121307,0.8717625553850155,0.11137693822711525,0.1134025836917669,0.07046551066403925,0.17213344570730915,False
SVR,M_CH3OH,6,0.9831394936121307,0.9764030583502089,0.006736435261921803,0.006919539216256556,-0.00012450663514017855,0.01512095063956194,True
SVR,x_CH3OH,4,0.9530700595881126,0.8487500325032473,0.10432002708486532,0.1062179124920143,0.04928129167553658,0.1896032935566989,False
SVR,x_CH3OH,5,0.9530700595881126,0.8877784279133986,0.06529163167471408,0.06691277898837668,0.025577728818991965,0.12452303915605206,False
SVR,x_CH3OH,6,0.9530700595881126,0.9684161367170873,-0.015346077128974622,-0.016121380133251862,-0.031647226519030895,-0.0011306692115631183,True
SVR,ET,4,0.970117996817471,0.8206993800327949,0.14941861678467616,0.1483507953719091,0.09324266091992928,0.216993400597736,False
SVR,ET,5,0.970117996817471,0.9544490589972943,0.015668937820176754,0.015897758398514636,0.007932923892526192,0.024639617396358244,False
SVR,ET,6,0.970117996817471,0.9719418298785676,-0.0018238330610965692,-0.0016550533312776861,-0.01056587881762073,0.005811147967854925,True
DT,M_CH3OH,4,0.7739889201929001,0.5196038675603479,0.2543850526325522,0.257457857119256,0.16466934900094318,0.3505127034663041,False
DT,M_CH3OH,5,0.7739889201929001,0.6514451463567895,0.12254377383611059,0.12135245317112359,0.03777135317539589,0.21874055606122828,False
DT,M_CH3OH,6,0.7739889201929001,0.7929791344774275,-0.018990214284527407,-0.019547204270745196,-0.04991178032704637,0.006379108205015975,True
DT,x_CH3OH,4,0.7904665543136948,0.6939500311263129,0.09651652318738191,0.0971478476081653,0.00027657949994278384,0.21681469266882847,False
DT,x_CH3OH,5,0.7904665543136948,0.6837206690519368,0.10674588526175799,0.11017998215129478,0.008064954485266167,0.23433371246404505,False
DT,x_CH3OH,6,0.7904665543136948,0.7943014876599936,-0.0038349333462988078,-0.0038155098775382776,-0.015902216371407128,0.005653836326388249,True
DT,ET,4,0.8835638941367827,0.7845726738328067,0.098991220303976,0.09929261233108472,0.031868155130368676,0.17254185190096036,False
DT,ET,5,0.8835638941367827,0.9064052463209336,-0.022841352184150843,-0.023188379499476098,-0.050877281126298,-0.0029982050261375195,True
DT,ET,6,0.8835638941367827,0.893372142969093,-0.00980824883231024,-0.010055918675568168,-0.027302686220663848,0.0038814795632064946,True
RF,M_CH3OH,4,0.9143022441109695,0.6104575440671416,0.3038447000438279,0.3099904622676214,0.23231341192834903,0.40619042901462576,False
